text	site	step_label	domain	source_file	source_type	el_visible	el_width	el_height	el_x	el_y	el_tag	label	Pattern Category	confidence
Van Heusen	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	87.26250457763672	27.200000762939453	673.0125122070312	83.20000457763672	A	0	Not Dark Pattern	0.7696432425036468
Allen Solly	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	84.61250305175781	27.200000762939453	768.2750244140625	83.20000457763672	A	0	Not Dark Pattern	0.7696432425036468
Steve Madden	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	98.5875015258789	27.200000762939453	860.8875122070312	83.20000457763672	A	0	Not Dark Pattern	0.7696432425036468
Reebok	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	66.26250457763672	27.200000762939453	1069.3875732421875	83.20000457763672	A	0	Not Dark Pattern	0.7696432425036468
Trampoline	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	85.1624984741211	27.200000762939453	1143.6500244140625	83.20000457763672	A	0	Not Dark Pattern	0.7696432425036468
Aldo	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	53.60000228881836	27.200000762939453	72.26250457763672	118.4000015258789	A	0	Not Dark Pattern	0.7696432425036468
Soch	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	53.60000228881836	27.200000762939453	133.8625030517578	118.4000015258789	A	0	Not Dark Pattern	0.7696432425036468
Biba	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	52.275001525878906	27.200000762939453	195.46250915527344	118.4000015258789	A	0	Not Dark Pattern	0.7696432425036468
Fabindia	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	71.5999984741211	27.200000762939453	373.6000061035156	118.4000015258789	A	0	Not Dark Pattern	0.7696432425036468
Aurelia	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	65.5875015258789	27.200000762939453	453.20001220703125	118.4000015258789	A	0	Not Dark Pattern	0.7696432425036468
Truebrowns	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	87.1624984741211	27.200000762939453	526.7875366210938	118.4000015258789	A	0	Not Dark Pattern	0.7696432425036468
Pyjamas Churidars	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	120.5999984741211	27.200000762939453	112.7249984741211	197.60000610351562	A	0	Not Dark Pattern	0.7696432425036468
Sherwani Sets	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	97.9375	27.200000762939453	241.3249969482422	197.60000610351562	A	0	Not Dark Pattern	0.7696432425036468
Kurtas	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	61.60000228881836	27.200000762939453	347.26251220703125	197.60000610351562	A	0	Not Dark Pattern	0.7696432425036468
Ethnic Suit Sets	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	106.2750015258789	27.200000762939453	416.8625183105469	197.60000610351562	A	0	Not Dark Pattern	0.7277275346468651
Fragrances Deodorants	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	140.5625	27.200000762939453	531.1375122070312	197.60000610351562	A	0	Not Dark Pattern	0.7696432425036468
Perfumes Colognes	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	123.26250457763672	27.200000762939453	679.7000122070312	197.60000610351562	A	0	Not Dark Pattern	0.7696432425036468
Shampoos Conditioners	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	144.6125030517578	27.200000762939453	909.0375366210938	197.60000610351562	A	0	Not Dark Pattern	0.7875560763024323
Boxers	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	63.60000228881836	27.200000762939453	16.0	232.8000030517578	A	0	Not Dark Pattern	0.7696432425036468
Briefs	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	58.9375	27.200000762939453	87.5999984741211	232.8000030517578	A	0	Not Dark Pattern	0.7696432425036468
Trunks	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	63.17499923706055	27.200000762939453	374.3125	232.8000030517578	A	0	Not Dark Pattern	0.7696432425036468
Vests	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	54.9375	27.200000762939453	445.4875183105469	232.8000030517578	A	0	Not Dark Pattern	0.7696432425036468
Pyjamas	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	70.2750015258789	27.200000762939453	640.8125	232.8000030517578	A	0	Not Dark Pattern	0.7696432425036468
Night Loungewearsets	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	137.91250610351562	27.200000762939453	719.0875244140625	232.8000030517578	A	0	Not Dark Pattern	0.7965858271574654
Sweatshirts Jackets	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	122.5875015258789	27.200000762939453	933.2750244140625	232.8000030517578	A	0	Not Dark Pattern	0.7744699803921081
Grooming	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	78.9375	27.200000762939453	16.0	268.0	A	0	Not Dark Pattern	0.7696432425036468
Track Pants	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	86.1624984741211	27.200000762939453	479.82501220703125	268.0	A	0	Not Dark Pattern	0.7756542183535006
Trousers Pants	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	100.17500305175781	27.200000762939453	573.9874877929688	268.0	A	0	Not Dark Pattern	0.7996316610189483
Blazers Waistcoats	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	120.0625	27.200000762939453	682.1625366210938	268.0	A	0	Not Dark Pattern	0.7696432425036468
Jackets Coats	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	94.5875015258789	27.200000762939453	985.0750122070312	268.0	A	0	Not Dark Pattern	0.7744699803921081
Sweatshirt Hoodies	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	123.26250457763672	27.200000762939453	1087.6624755859375	268.0	A	0	Not Dark Pattern	0.7696432425036468
Suit Sets	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	71.95000457763672	27.200000762939453	16.0	303.20001220703125	A	0	Not Dark Pattern	0.7277275346468651
Tshirts	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	62.10000228881836	27.200000762939453	161.5625	303.20001220703125	A	0	Not Dark Pattern	0.7696432425036468
Sweaters Cardigans	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	124.57500457763672	27.200000762939453	231.66250610351562	303.20001220703125	A	0	Not Dark Pattern	0.7696432425036468
Swimwear	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	80.92500305175781	27.200000762939453	364.2375183105469	303.20001220703125	A	0	Not Dark Pattern	0.7696432425036468
Tracksuits	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	79.17500305175781	27.200000762939453	453.1625061035156	303.20001220703125	A	0	Not Dark Pattern	0.7696432425036468
Co Ord Sets	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	88.2750015258789	27.200000762939453	540.3375244140625	303.20001220703125	A	0	Not Dark Pattern	0.7722248958433418
Flip Flop Slippers	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	116.2874984741211	27.200000762939453	98.92500305175781	382.3999938964844	A	0	Not Dark Pattern	0.7802848330854376
Sneakers	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	72.92500305175781	27.200000762939453	888.7999877929688	382.3999938964844	A	0	Not Dark Pattern	0.7696432425036468
Backpacks	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	81.5875015258789	27.200000762939453	143.75	461.6000061035156	A	0	Not Dark Pattern	0.7696432425036468
Belts	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	54.275001525878906	27.200000762939453	233.33750915527344	461.6000061035156	A	0	Not Dark Pattern	0.7696432425036468
Caps Hats	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	78.5999984741211	27.200000762939453	608.6875	461.6000061035156	A	0	Not Dark Pattern	0.7696432425036468
Socks	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	58.275001525878906	27.200000762939453	695.2875366210938	461.6000061035156	A	0	Not Dark Pattern	0.7856473876957975
Scarves	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	66.92500305175781	27.200000762939453	761.5625	461.6000061035156	A	0	Not Dark Pattern	0.7696432425036468
Eyewear	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	71.57500457763672	27.200000762939453	836.4874877929688	461.6000061035156	A	0	Not Dark Pattern	0.7925011442287916
Frames	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	64.9375	27.200000762939453	981.6625366210938	461.6000061035156	A	0	Not Dark Pattern	0.7490397256100363
Sunglasses	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	82.2750015258789	27.200000762939453	1054.5999755859375	461.6000061035156	A	0	Not Dark Pattern	0.7696432425036468
Bracelets Kadas	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	107.23750305175781	27.200000762939453	140.58750915527344	496.8000183105469	A	0	Not Dark Pattern	0.7852102121865354
Chains	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	62.9375	27.200000762939453	255.8249969482422	496.8000183105469	A	0	Not Dark Pattern	0.7696432425036468
Rings	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	57.61249923706055	27.200000762939453	405.0249938964844	496.8000183105469	A	0	Not Dark Pattern	0.7696432425036468
Rakhis	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	62.9375	27.200000762939453	470.63751220703125	496.8000183105469	A	0	Not Dark Pattern	0.7696432425036468
Silver Jewellery	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	107.25	27.200000762939453	619.5250244140625	496.8000183105469	A	0	Not Dark Pattern	0.7678617895478492
Leggings	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	74.26250457763672	27.200000762939453	112.7249984741211	576.0	A	0	Not Dark Pattern	0.7696432425036468
Salwars Churidars	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	117.92500305175781	27.200000762939453	194.9875030517578	576.0	A	0	Not Dark Pattern	0.7696432425036468
Skirts Ghagras	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	100.5999984741211	27.200000762939453	320.9125061035156	576.0	A	0	Not Dark Pattern	0.7696432425036468
Dupattas	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	72.26250457763672	27.200000762939453	538.0875244140625	576.0	A	0	Not Dark Pattern	0.7696432425036468
Jackets	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	64.26250457763672	27.200000762939453	618.3500366210938	576.0	A	0	Not Dark Pattern	0.7744699803921081
Sarees	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	60.92499923706055	27.200000762939453	766.2250366210938	576.0	A	0	Not Dark Pattern	0.7696432425036468
Kurta Suit Sets	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	102.2750015258789	27.200000762939453	835.1500244140625	576.0	A	0	Not Dark Pattern	0.7277275346468651
Lehenga Choli Sets	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	123.5875015258789	27.200000762939453	945.4249877929688	576.0	A	0	Not Dark Pattern	0.7799763933291148
Shampoos Conditioner	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	139.9375	27.200000762939453	393.8999938964844	611.2000122070312	A	0	Not Dark Pattern	0.7696432425036468
Lingerie Innerwear	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	121.88750457763672	27.200000762939453	541.8375244140625	611.2000122070312	A	0	Not Dark Pattern	0.7696432425036468
Camisoles Slips	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	106.61250305175781	27.200000762939453	671.7250366210938	611.2000122070312	A	0	Not Dark Pattern	0.7696432425036468
Shapewear	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	82.25	27.200000762939453	786.3375244140625	611.2000122070312	A	0	Not Dark Pattern	0.7696432425036468
Bras	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	51.60000228881836	27.200000762939453	982.6375122070312	611.2000122070312	A	0	Not Dark Pattern	0.7911837690235084
Panties	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	64.2750015258789	27.200000762939453	1042.237548828125	611.2000122070312	A	0	Not Dark Pattern	0.7696432425036468
Lingerie Sets	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	93.26250457763672	27.200000762939453	1114.5125732421875	611.2000122070312	A	0	Not Dark Pattern	0.7696432425036468
Makeup	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	68.92500305175781	27.200000762939453	104.92500305175781	646.4000244140625	A	0	Not Dark Pattern	0.7696432425036468
Skirts	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	57.61249923706055	27.200000762939453	84.2750015258789	681.6000366210938	A	0	Not Dark Pattern	0.7696432425036468
Dresses	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	66.92500305175781	27.200000762939453	352.2250061035156	681.6000366210938	A	0	Not Dark Pattern	0.7982057523999199
Shrugs Jackets	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	100.5999984741211	27.200000762939453	730.0625	681.6000366210938	A	0	Not Dark Pattern	0.7744699803921081
Cleanser	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	71.5875015258789	27.200000762939453	16.0	796.0	A	0	Not Dark Pattern	0.7696432425036468
Moisturisers	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	89.5999984741211	27.200000762939453	95.5875015258789	796.0	A	0	Not Dark Pattern	0.7696432425036468
Serum	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	60.9375	27.200000762939453	193.1875	796.0	A	0	Not Dark Pattern	0.7696432425036468
Sunscreen	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	78.92500305175781	27.200000762939453	262.125	796.0	A	0	Not Dark Pattern	0.7696432425036468
Eye Cream	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	83.25	27.200000762939453	417.9875183105469	796.0	A	0	Not Dark Pattern	0.7696432425036468
Lipstick	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	68.9375	27.200000762939453	598.6375122070312	796.0	A	0	Not Dark Pattern	0.7696432425036468
Lip Gloss	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	76.61250305175781	27.200000762939453	675.5750122070312	796.0	A	0	Not Dark Pattern	0.7696432425036468
Lip Liner	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	75.26250457763672	27.200000762939453	760.1875	796.0	A	0	Not Dark Pattern	0.7696432425036468
Lip Balm	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	75.26250457763672	27.200000762939453	843.4500122070312	796.0	A	0	Not Dark Pattern	0.7696432425036468
Mascara	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	70.25	27.200000762939453	1010.625	796.0	A	0	Not Dark Pattern	0.7696432425036468
Eyeliner	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	70.25	27.200000762939453	1088.875	796.0	A	0	Not Dark Pattern	0.7696432425036468
Foundation	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	84.2750015258789	27.200000762939453	16.0	831.2000122070312	A	0	Not Dark Pattern	0.7696432425036468
Concealer	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	78.25	27.200000762939453	108.2750015258789	831.2000122070312	A	0	Not Dark Pattern	0.7696432425036468
Eyeshadow	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	84.92500305175781	27.200000762939453	295.3999938964844	831.2000122070312	A	0	Not Dark Pattern	0.7696432425036468
Primer	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	62.26250076293945	27.200000762939453	388.32501220703125	831.2000122070312	A	0	Not Dark Pattern	0.7696432425036468
Nail Polish	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	83.2750015258789	27.200000762939453	458.5874938964844	831.2000122070312	A	0	Not Dark Pattern	0.7696432425036468
Compact	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	72.92500305175781	27.200000762939453	549.8624877929688	831.2000122070312	A	0	Not Dark Pattern	0.7696432425036468
Shampoo	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	74.9375	27.200000762939453	715.3624877929688	831.2000122070312	A	0	Not Dark Pattern	0.7696432425036468
Conditioner	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	86.9375	27.200000762939453	798.2999877929688	831.2000122070312	A	0	Not Dark Pattern	0.7696432425036468
Hand Cream	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	90.5875015258789	27.200000762939453	403.57501220703125	866.4000244140625	A	0	Not Dark Pattern	0.7819001529094454
Fragrances	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	82.25	27.200000762939453	502.1625061035156	866.4000244140625	A	0	Not Dark Pattern	0.7696432425036468
Perfumes	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	74.92500305175781	27.200000762939453	592.4125366210938	866.4000244140625	A	0	Not Dark Pattern	0.7696432425036468
Deodorants	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	84.92500305175781	27.200000762939453	675.3375244140625	866.4000244140625	A	0	Not Dark Pattern	0.7696432425036468
Spray Mist	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	82.61250305175781	27.200000762939453	768.2625122070312	866.4000244140625	A	0	Not Dark Pattern	0.7696432425036468
Bellies	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	62.9375	27.200000762939453	999.0375366210938	945.6000366210938	A	0	Not Dark Pattern	0.7696432425036468
Flat Chappals	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	95.9375	27.200000762939453	1069.9749755859375	945.6000366210938	A	0	Not Dark Pattern	0.7974391851091431
Heeled Chappals	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	111.25	27.200000762939453	16.0	980.7999877929688	A	0	Not Dark Pattern	0.7696432425036468
Clutches Wristlets	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	117.2249984741211	27.200000762939453	233.33750915527344	1060.0	A	0	Not Dark Pattern	0.7696432425036468
Handbags	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	77.5999984741211	27.200000762939453	447.1625061035156	1060.0	A	0	Not Dark Pattern	0.7696432425036468
Socks Stockings	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	108.61250305175781	27.200000762939453	1102.6500244140625	1060.0	A	0	Not Dark Pattern	0.7856473876957975
Stoles Scarves	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	99.26250457763672	27.200000762939453	16.0	1095.2000732421875	A	0	Not Dark Pattern	0.7696432425036468
Mufflers	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	71.375	27.200000762939453	229.1999969482422	1095.2000732421875	A	0	Not Dark Pattern	0.7696432425036468
Shawls Wraps	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	97.9000015258789	27.200000762939453	308.57501220703125	1095.2000732421875	A	0	Not Dark Pattern	0.7696432425036468
Bracelets Bangles	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	115.9124984741211	27.200000762939453	629.3375244140625	1095.2000732421875	A	0	Not Dark Pattern	0.7852102121865354
Bracelets	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	74.25	27.200000762939453	1015.7000122070312	1095.2000732421875	A	0	Not Dark Pattern	0.7852102121865354
Kurtas Kurtis	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	94.5999984741211	27.200000762939453	665.5625	1209.5999755859375	A	0	Not Dark Pattern	0.7696432425036468
Jackets Shrugs	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	100.5999984741211	27.200000762939453	1125.0875244140625	1209.5999755859375	A	0	Not Dark Pattern	0.7744699803921081
Flip Flops Slipper	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	116.2874984741211	27.200000762939453	800.5125122070312	1244.800048828125	A	0	Not Dark Pattern	0.7802848330854376
Audio Systems	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	102.61250305175781	27.200000762939453	16.0	1324.0	A	0	Not Dark Pattern	0.7696432425036468
Headphones	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	88.92500305175781	27.200000762939453	126.61250305175781	1324.0	A	0	Not Dark Pattern	0.7696432425036468
Speakers	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	72.92500305175781	27.200000762939453	223.53750610351562	1324.0	A	0	Not Dark Pattern	0.7696432425036468
Connectivity	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	91.5999984741211	27.200000762939453	436.375	1324.0	A	0	Not Dark Pattern	0.7696432425036468
Smart Wearables	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	110.7249984741211	27.200000762939453	868.5125122070312	1324.0	A	0	Not Dark Pattern	0.7696432425036468
Wearable Gadgets	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	116.92500305175781	27.200000762939453	987.2374877929688	1324.0	A	0	Not Dark Pattern	0.7696432425036468
Toys Games	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	89.0875015258789	27.200000762939453	130.75	1438.4000244140625	A	0	Not Dark Pattern	0.7893789219754396
Board Card Puzzle Games	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	156.5625	27.200000762939453	406.76251220703125	1438.4000244140625	A	0	Not Dark Pattern	0.7688408884393393
Gaming Robots Vehicles	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	148.71250915527344	27.200000762939453	921.7625122070312	1438.4000244140625	A	0	Not Dark Pattern	0.7522527757311872
Role Pretend Play	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	116.26250457763672	27.200000762939453	118.2125015258789	1473.5999755859375	A	0	Not Dark Pattern	0.7696432425036468
Bathing Grooming Diapering	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	170.91250610351562	27.200000762939453	1014.1875	1473.5999755859375	A	0	Not Dark Pattern	0.7696432425036468
Cushions Pillows	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	113.30000305175781	27.200000762939453	16.0	1588.0	A	0	Not Dark Pattern	0.7168346271333798
Blankets Dohars Quilts	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	141.60000610351562	27.200000762939453	260.5625	1588.0	A	0	Not Dark Pattern	0.7935313753667749
Furnishing Fabrics	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	119.9375	27.200000762939453	410.1625061035156	1588.0	A	0	Not Dark Pattern	0.7696432425036468
Bedsheets	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	78.26250457763672	27.200000762939453	538.1000366210938	1588.0	A	0	Not Dark Pattern	0.7696432425036468
Kitchen Dining	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	103.92500305175781	27.200000762939453	624.3624877929688	1588.0	A	0	Not Dark Pattern	0.7834207183026334
Table Covers Runners Slipcovers	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	189.7375030517578	27.200000762939453	736.2875366210938	1588.0	A	0	Not Dark Pattern	0.7772104047955015
Table Napkins Coasters Placemats	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	195.0625	27.200000762939453	934.0250244140625	1588.0	A	0	Not Dark Pattern	0.7417324081762194
Kitchen Linen	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	98.5875015258789	27.200000762939453	1137.0875244140625	1588.0	A	0	Not Dark Pattern	0.7834207183026334
Cutlery	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	65.5999984741211	27.200000762939453	16.0	1623.2000732421875	A	0	Not Dark Pattern	0.7696432425036468
Serveware Drinkware	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	134.5500030517578	27.200000762939453	89.5999984741211	1623.2000732421875	A	0	Not Dark Pattern	0.7696432425036468
Cookware	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	78.92500305175781	27.200000762939453	232.15000915527344	1623.2000732421875	A	0	Not Dark Pattern	0.7696432425036468
Bakeware	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	77.57500457763672	27.200000762939453	319.07501220703125	1623.2000732421875	A	0	Not Dark Pattern	0.7696432425036468
Kitchen Appliances	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	123.9124984741211	27.200000762939453	404.6499938964844	1623.2000732421875	A	0	Not Dark Pattern	0.7889500369038621
Kitchen Organisers	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	122.36250305175781	27.200000762939453	641.4375	1623.2000732421875	A	0	Not Dark Pattern	0.7834207183026334
Serveware	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	80.23750305175781	27.200000762939453	771.7999877929688	1623.2000732421875	A	0	Not Dark Pattern	0.7696432425036468
